,,,,,,,,,
,CREMA TOUM,200GR,,,,,,,
,SHANKLISH TRADICIONAL ,200GR,,,PUEDES ESCOGER 2 OPCIÓN DE SHANKLISH PREPARADO,,,,
,SHANKLISH TRADICIONAL PICANTE,200GR,,,,,,,
,SHANKLISH TOMATE SECO,200GR,,,,,,,
,SHANKLISH DE PESTO,200GR,,,,,,,
,SHANKLISH MEREY Y MIEL,200GR,,,,,,,
,TABULE,200GR,,,PUEDES ESCOGER 1 OPCIÓN DE ENSALADA ,,,,
,FATTOUSH,200GR,,,,,,,
,FATULE,200GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,POSTRES,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BAKLAWA PISTACHO,CANTIDAD ,,,,,,,
,INGREDIENTES,3UND,5UND,DETALLE,PREPARACIÓN,,,,
,BAKLAWA PISTACHO,3UND,5UND ,,,,,,
,PISTACHO,3GR,6GR,,Decoración,,,,
,CARAMELO DE BAKLAWA,3GR,6GR,,Decoración,,,,
,,,,,,,,,
,,,,,,,,,
,BAKLAWA CHOCOAVELLANAS,CANTIDAD ,,,,,,,
,INGREDIENTES,3UND,5UND,DETALLE,PREPARACIÓN,,,,
,BAKLAWA CHOCOAVELLANAS,3UND,5UND ,,,,,,
,AVELLANA GARRAPIÑADA,3GR,6GR,,Decoración,,,,
,NUTELLA,3GR,6GR,,Decoración,,,,
,CARAMELO DE BAKLAWA,3GR,6GR,,Decoración,,,,
,,,,,,,,,
,,,,,,,,,
,CHEESE CAKE DE FRESA,CANTIDAD ,,,,,,,
,INGREDIENTES,1,UND,DETALLE,PRODUCTO ,,,,
,CHEESE CAKE DE FRESA,1,UND,,,,,,
,FRESA,1,UND,,,,,,
,,,,,,,,,
,,,,,,,,,
,CHEESE CAKE DE PISTACHO,CANTIDAD ,,,,,,,
,INGREDIENTES,1,UND,DETALLE,PRODUCTO ,,,,
,CHEESE CAKE DE PISTACHO,1,UND,,,,,,
,PISTACHO,3,GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,HELADO DE PISTACHO,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,HELADO DE PISTACHO,125GR,250GR,,,,,,
,GALLETA DE PISTACHO,1UND,1UND,,,,,,
,PISTACHO MOLIDO ,3GR,3GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,HELADO DE CHOCOAVELLANAS ,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,HELADO DE CHOCOAVELLANAS ,125GR,250GR,,,,,,
,GALLETA DE AVELLANA,1UND,1UND,,,,,,
,AVELLANA GARRAPIÑADA,3GR,3GR,,,,,,
,SIROPE CHOCOLATE,1ML,1ML,,,,,,
,,,,,,,,,
,,,,,,,,,
,BROOKIE ,CANTIDAD ,,,,,,,
,INGREDIENTES,1,UND,DETALLE,PRODUCTO ,,,,
,BROOKIE ,1,UND,,,,,,
,HELADO DE MANTECADO ,1,BOLA,,,,,,
,,,,,,,,,
,,,,,,,,,
,RACIONES DE PAN ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PAN ÁRABE NATURAL ,CANTIDAD ,,,,,,,
,INGREDIENTES,35GR,70GR,DETALLE,PREPARACIÓN,,,,
,PAN ÁRABE NATURAL ,35GR,70GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PAN ÁRABE TOSTADO,CANTIDAD ,,,,,,,
,INGREDIENTES,35GR,70GR,DETALLE,PREPARACIÓN,,,,
,PAN ÁRABE TOSTADO,35GR,70GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PAN ÁRABE MIXTO,CANTIDAD ,,,,,,,
,INGREDIENTES,35GR,70GR,DETALLE,PREPARACIÓN,,,,
,PAN ÁRABE NATURAL,35GR,70GR,,PUEDES ELEGIR 2 DE ESTAS OPCIONES ,,,,
,PAN ÁRABE FRITO,,,,,,,,
,PAN ÁRABE TOSTADO,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PAN ÁRABE FRITO,CANTIDAD ,,,,,,,
,INGREDIENTES,35GR,70GR,DETALLE,PREPARACIÓN,,,,
,PAN ÁRABE FRITO,35GR,70GR,,,,,,
,*AJO EN POLVO*,1GR,2GR,,OPCIONAL ,,,,
,,,,,,,,,
,PAPAS FRITAS,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PAPAS FRITAS,CANTIDAD ,,,,,,,
,INGREDIENTES,220GR,,DETALLE,PRODUCTO ,,,,
,PAPAS FRITAS,220GR,,,,,,,
,SAL,1GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PAPAS FRITAS TRUFADAS,CANTIDAD ,,,,,,,
,INGREDIENTES,,,DETALLE,PRODUCTO ,,,,
,PAPAS FRITAS,220GR,,,,,,,
,POLVO DE TRUFAS,1GR,,,,,,,
,SAL,1GR,,,,,,,
