,,,,,,,,,
,YOGURT ,105 GR ,210 GR ,No puede estar acido ,Mezclar todo en un bowl ,,,,
,PEPINO ,20 GR,45 GR,Cubo ,"Decorar con  eneldo, Pepino , cogoyito de Hierba buena ",,PASTA DE AJO,,
,HIERBA BUENA SECA ,"0,5 GR",1 GR ,Polvo ,,,,,
,PASTA DE AJO,1GR,2GR,Pisado ,,,ACEITE ,1 LITRO,
,SAL ,"0,8 GR",1 GR ,,,,AJO,500GR,
,ENELDO Y HIERBA BUENA FRESCA (Decoracion),,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DEGUSTACIÓN DE CREMAS: ,,,,,,,,
,"Puede llevar Todas las cremas anteriores SOLO 4 OPCIONES, DE LOS 5 SHANKLISH QUE TENEMOS PUEDE LLEVAR 1 (70gr de cada una)",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ENSALADAS ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ENSALADA TABULE (BOWL),CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,Ingrediente,Receta Base (977g),Porcentaje (%),Porción de 125 gr,Porción de 250 gr,,,,
,Perejil,150 gr,"15,35%",19.19 gr,38.38 gr,,,,
,Tomate,380 gr,"38,89%",48.62 gr,97.24 gr,,,,
,Cebolla Blanca,60 gr,"6,14%",7.68 gr,15.35 gr,,,,
,Cebollín,40 gr,"4,09%",5.12 gr,10.24 gr,,,,
,Trigo Hidratado,40 gr,"4,09%",5.12 gr,10.24 gr,,,,
,Jugo de Limón,148 ml,"15,15%",18.94 ml,37.87 ml,,,,
,Aceite Vegetal +,148 ml,"15,15%",18.94 ml,37.87 ml,,,,
,Sal,11 gr,"1,13%",1.41 gr,2.81 gr,,,,
,PESO TOTAL,977 gr/ml,"100,00%",125.00 gr,250.00 gr,,,,
,,,,,,,,,
,,,,,,,,,
,ENSALADA FATOUSH ,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,LECHUGA,80GR,160GR,,,,,,
