nombre,categoria,unidad_base,punto_reorden,minimo_stock,costo_unitario_inicial,es_critico,descripcion
BOLSAS CON ASA 10 KG,ENVASES,UNIT,,,,NO,
BOLSAS DELIVERY UND,ENVASES,UNIT,,,,NO,
BOLSAS PERSONALIZADAS PEQUEÑAS UND,ENVASES,UNIT,,,,NO,
BOLSAS PORCIONADORAS 250GR,ENVASES,UNIT,,,,NO,
BOLSAS PORCIONADORAS 2KG,ENVASES,UNIT,,,,NO,
BOLSAS SUPERMERCADO 5KG UND,ENVASES,UNIT,,,,NO,
CAJAS DE PAPA DELIVERY UND,ENVASES,UNIT,,,,NO,
ENVASES 12OZ UND,ENVASES,UNIT,,,,NO,
ENVASES 24OZ UND,ENVASES,UNIT,,,,NO,
ENVASES 32OZ UND,ENVASES,UNIT,,,,NO,
ENVASES 8OZ UND,ENVASES,UNIT,,,,NO,
ENVASES ALUMINIO (125 GM) UND,ENVASES,UNIT,,,,NO,
ENVASES ALUMINIO 420 (250 GM) UND,ENVASES,UNIT,,,,NO,
ENVASES ALUMINIO 747 (500 GM) UND,ENVASES,UNIT,,,,NO,
ENVASES DE ANIME PARA MENU EJECUTIVO UND,ENVASES,UNIT,,,,NO,
ENVASES DE KIBBE,ENVASES,UNIT,,,,NO,
ENVASES PAPAS FRITAS,ENVASES,UNIT,,,,NO,
ENVASES SHAWARMA H1000 UND,ENVASES,UNIT,,,,NO,
ENVOPLAST UND,ENVASES,UNIT,,,,NO,
PALOS DE PINCHOS,ENVASES,UNIT,,,,NO,
PAPEL DE ALUMINIO PAQUETE,ENVASES,UNIT,,,,NO,
PAPEL DE SHAWARMA,ENVASES,UNIT,,,,NO,
PITILLOS DE FRAPPE UND,ENVASES,UNIT,,,,NO,
PITILLOS NORMALES UND,ENVASES,UNIT,,,,NO,
PORTAVASOS DELIVERY UND,ENVASES,UNIT,,,,NO,
POSAVASOS UND,ENVASES,UNIT,,,,NO,
POTES CHINOS UND,ENVASES,UNIT,,,,NO,
TAPAS ALUMINIO 125 UND,ENVASES,UNIT,,,,NO,
TAPAS DE ENVASES DE 250 ALUMINIO,ENVASES,UNIT,,,,NO,
TAPAS DE ENVASES DE 500,ENVASES,UNIT,,,,NO,
TAPAS DE VASOS TAKE AWAY UND,ENVASES,UNIT,,,,NO,
TAPAS POTE CHINO,ENVASES,UNIT,,,,NO,
TAPAS TINAS UND,ENVASES,UNIT,,,,NO,
TINA 24OZ (POTES CHINO) UND,ENVASES,UNIT,,,,NO,
TINA 2OZ UND,ENVASES,UNIT,,,,NO,
VASOS DE 12OZ UND,ENVASES,UNIT,,,,NO,
VASOS DE 16 OZ,ENVASES,UNIT,,,,NO,
VASOS DE 8OZ UND,ENVASES,UNIT,,,,NO,
VASOS DE CAFE TAKE AWAY,ENVASES,UNIT,,,,NO,
ESENCIA BLUE MELON,ESENCIAS,UNIT,,,,NO,
ESENCIA BLUEBERRY,ESENCIAS,UNIT,,,,NO,
ESENCIA DOBLE MANZANA,ESENCIAS,UNIT,,,,NO,
ESENCIA DOBLE MELON,ESENCIAS,UNIT,,,,NO,
ESENCIA ICE WATERMELON,ESENCIAS,UNIT,,,,NO,
ESENCIA MANGO,ESENCIAS,UNIT,,,,NO,
ESENCIA MANGO TANGO,ESENCIAS,UNIT,,,,NO,
ESENCIA MELON ICE,ESENCIAS,UNIT,,,,NO,
ESENCIA TABACO,ESENCIAS,UNIT,,,,NO,
